frame,time_s,detected,handedness,score,pos_Thumb,pos_ThumbRot,pos_Index,pos_Middle,pos_Ring,pos_Pinky,angle_ThumbFlex,angle_ThumbAbd,angle_Index,angle_Middle,angle_Ring,angle_Pinky
0,0.031,1,Left,0.812,329,329,496,453,409,346,160.64,112.57,135.33,139.13,143.01,148.53
1,0.041,1,Left,0.946,327,327,480,444,400,351,161.78,111.66,139.53,141.49,145.3,147.36
2,0.05,1,Left,0.967,317,317,464,415,367,330,163.99,113.18,140.73,147.03,152.1,153.37
3,0.058,1,Left,0.955,314,314,456,411,362,337,164.52,109.12,140.15,143.53,147.92,148.23
4,0.068,1,Left,0.955,309,309,457,401,347,328,165.89,108.5,138.72,145.42,150.92,151.73
5,0.076,1,Left,0.949,307,307,446,387,333,312,166.06,107.19,141.43,147.15,152.03,153.98
6,0.085,1,Left,0.962,309,309,447,388,331,312,165.84,105.68,139.64,144.86,150.16,151.58
7,0.094,1,Left,0.938,308,308,440,384,330,312,165.87,107.31,141.44,145.79,150.13,151.45
8,0.103,1,Left,0.962,309,309,448,381,323,309,165.22,106.76,138.39,145.93,151.67,152.38
9,0.112,1,Left,0.946,313,313,438,374,317,302,165.01,105.1,141.94,147.29,152.04,153.62
10,0.121,1,Left,0.963,315,315,443,378,320,306,165.15,105.68,139.28,144.97,150.45,151.4
11,0.13,1,Left,0.958,315,315,446,386,327,312,166.16,103.6,139.17,143.72,149.02,150.68
12,0.139,1,Left,0.962,321,321,453,399,338,323,164.89,102.4,137.97,141.7,147.59,148.69
13,0.148,1,Left,0.949,316,316,454,406,345,331,165.69,107.3,138.93,142.18,147.52,148.46
14,0.157,1,Left,0.958,316,316,452,406,344,328,165.86,104.26,139.36,143.16,148.69,150.6
15,0.166,1,Left,0.957,318,318,454,409,347,331,165.11,105.13,138.78,142.68,148.15,149.43
16,0.174,1,Left,0.953,322,322,452,407,346,329,165.57,101.46,139.69,143.37,148.63,150.36
17,0.183,1,Left,0.959,319,319,453,408,347,331,165.52,105.65,138.98,143.01,148.37,149.42
18,0.192,1,Left,0.949,317,317,446,398,340,324,166.41,103.78,141.01,145.67,150.23,151.79
19,0.201,1,Left,0.959,315,315,446,395,336,323,165.67,106.52,139.76,144.63,150.18,150.58
20,0.21,1,Left,0.961,324,324,443,395,337,320,165.51,99.11,140.49,144.36,149.2,151.24
21,0.218,1,Left,0.957,323,323,439,390,332,315,165.52,104.01,140.92,145.53,150.52,152.06
22,0.227,1,Left,0.964,328,328,438,393,335,316,164.9,100.61,140.68,143.86,149.01,151.18
23,0.235,1,Left,0.964,331,331,439,400,342,324,165.3,100.85,140.06,142.79,147.96,149.02
24,0.244,1,Left,0.956,326,326,443,407,350,332,165.62,104.47,139.34,141.84,146.92,148.66
25,0.252,1,Left,0.953,323,323,441,403,346,325,165.91,103.98,140.61,144.13,149.22,151.42
26,0.261,1,Left,0.96,324,324,436,395,337,314,165.65,102.83,141.34,145.59,150.82,153.25
27,0.269,1,Left,0.966,327,327,435,391,333,309,164.81,102.42,140.96,145.2,150.41,152.61
28,0.277,1,Left,0.959,328,328,433,388,330,307,165.58,101.84,141.2,145.3,150.4,152.34
29,0.286,1,Left,0.96,330,330,437,393,332,312,165.17,101.24,139.91,143.65,149.36,150.76
30,0.294,1,Left,0.951,325,325,435,391,332,311,165.79,104.58,141.04,144.85,149.75,151.73
31,0.303,1,Left,0.969,329,329,435,388,326,302,165.21,100.77,140.76,145.5,151.28,153.8
32,0.312,1,Left,0.956,328,328,441,402,340,318,165.57,102.45,139.25,141.31,146.77,148.53
33,0.321,1,Left,0.958,328,328,440,399,337,314,165.38,102.67,140.44,144.38,149.83,151.96
34,0.33,1,Left,0.962,332,332,442,404,342,319,164.7,100.62,139.67,142.67,148.23,150.1
35,0.339,1,Left,0.961,334,334,436,394,333,310,165.45,100.29,141.7,145.86,151.0,153.24
36,0.347,1,Left,0.958,334,334,442,405,343,322,165.17,101.16,139.26,141.48,147.13,148.53
37,0.356,1,Left,0.957,331,331,451,420,358,339,165.96,102.01,137.81,139.68,145.18,146.39
38,0.364,1,Left,0.954,331,331,446,414,351,331,165.29,101.51,140.58,143.55,149.23,151.23
39,0.373,1,Left,0.952,330,330,449,420,356,337,165.68,101.84,138.96,141.14,146.87,148.37
40,0.382,1,Left,0.952,324,324,440,403,340,321,165.58,105.87,141.79,146.36,151.52,153.5
41,0.391,1,Left,0.962,326,326,437,393,331,309,166.04,100.56,141.0,146.05,151.34,153.84
42,0.4,1,Left,0.975,336,336,432,384,324,302,164.48,97.39,141.74,146.6,151.68,153.57
43,0.409,1,Left,0.963,342,342,431,390,333,313,164.94,96.92,141.28,143.72,148.33,149.71
44,0.417,1,Left,0.957,344,344,430,392,335,316,164.67,99.0,141.41,144.24,149.18,150.61
45,0.426,1,Left,0.949,344,344,432,395,337,318,165.21,98.98,140.72,143.83,148.9,150.74
46,0.434,1,Left,0.949,345,345,424,395,341,324,165.95,96.09,142.93,144.17,148.48,149.5
47,0.443,1,Left,0.956,343,343,417,392,344,330,165.39,99.35,143.54,145.0,148.3,149.09
48,0.451,1,Left,0.965,347,347,422,388,335,317,166.04,94.53,141.09,145.53,150.92,153.25
49,0.46,1,Left,0.96,349,349,434,410,354,334,165.16,96.77,138.88,139.32,144.75,146.69
50,0.468,1,Left,0.952,344,344,441,420,359,338,166.25,98.56,139.01,140.43,146.57,148.56
51,0.477,1,Left,0.955,350,350,453,450,391,368,165.02,94.77,137.03,134.51,139.29,141.7
52,0.485,1,Left,0.955,350,350,459,458,396,372,166.63,93.69,137.82,137.35,143.42,145.53
53,0.494,1,Left,0.953,352,352,464,477,417,394,165.08,95.88,137.19,133.87,138.77,140.72
54,0.503,1,Left,0.936,350,350,466,473,412,391,165.86,96.99,137.82,138.07,143.63,145.02
55,0.511,1,Left,0.963,351,351,466,480,420,400,165.45,95.43,137.8,135.53,140.71,142.45
56,0.52,1,Left,0.949,352,352,463,469,407,389,165.99,94.69,138.78,139.64,145.19,146.66
57,0.528,1,Left,0.959,347,347,454,455,394,374,165.33,100.11,140.5,141.23,146.48,148.34
58,0.537,1,Left,0.948,337,337,461,462,403,388,166.26,103.1,137.43,137.3,142.18,142.74
59,0.545,1,Left,0.959,334,334,448,437,379,362,165.77,101.18,141.64,144.62,149.62,151.3
60,0.553,1,Left,0.969,338,338,445,431,372,356,165.21,98.27,140.27,142.09,147.3,148.76
61,0.562,1,Left,0.954,338,338,448,439,382,369,165.83,98.84,139.14,138.85,143.8,144.38
62,0.571,1,Left,0.962,335,335,443,423,367,353,165.92,100.95,140.85,144.42,149.17,150.6
63,0.579,1,Left,0.957,332,332,442,425,367,354,165.73,102.47,140.21,141.38,146.58,147.65
64,0.588,1,Left,0.954,331,331,446,436,378,367,165.87,100.87,139.14,138.85,144.05,144.61
65,0.596,1,Left,0.951,332,332,446,445,389,379,166.18,99.11,139.72,138.35,142.86,143.61
66,0.605,1,Left,0.957,330,330,441,437,384,377,165.08,103.08,140.99,141.88,146.13,146.08
67,0.613,1,Left,0.958,332,332,446,446,392,382,166.15,98.69,138.99,138.26,143.21,144.55
68,0.622,1,Left,0.952,328,328,452,457,401,388,165.99,103.34,138.23,137.1,142.13,143.96
69,0.63,1,Left,0.936,321,321,454,454,399,381,167.27,103.31,138.67,139.43,144.45,146.61
70,0.639,1,Left,0.959,327,327,462,472,418,401,165.3,99.97,137.07,134.59,139.02,140.48
71,0.648,1,Left,0.95,325,325,464,472,417,405,165.75,103.35,137.8,137.4,142.55,142.65
72,0.658,1,Left,0.962,324,324,461,468,410,399,165.54,103.34,139.05,138.61,143.97,144.85
73,0.667,1,Left,0.96,326,326,454,456,401,392,165.57,101.93,140.2,140.83,145.3,145.63
74,0.676,1,Left,0.969,325,325,456,455,399,391,164.88,104.79,138.44,139.1,144.23,144.78
75,0.684,1,Left,0.958,323,323,452,446,390,381,166.01,103.19,139.98,141.29,146.04,147.15
76,0.693,1,Left,0.962,324,324,436,420,367,356,165.28,103.1,143.07,146.23,150.43,151.67
77,0.702,1,Left,0.955,321,321,438,420,367,356,165.74,104.83,140.27,142.09,146.79,147.87
78,0.71,1,Left,0.971,322,322,430,402,348,331,166.07,102.21,142.4,146.54,151.54,153.91
79,0.719,1,Left,0.972,325,325,442,417,360,341,165.55,101.0,138.17,139.81,145.28,147.25
80,0.728,1,Left,0.937,322,322,446,424,366,348,165.2,105.68,139.13,140.5,145.75,147.45
81,0.736,1,Left,0.95,320,320,440,415,356,337,165.61,104.66,141.13,143.92,149.26,151.16
82,0.745,1,Left,0.959,317,317,434,405,346,327,165.62,106.49,141.74,145.08,150.32,151.87
83,0.753,1,Left,0.966,314,314,433,391,330,313,165.56,106.69,141.09,146.87,152.42,153.62
84,0.762,1,Left,0.969,322,322,437,398,337,321,165.11,100.87,139.8,142.86,148.25,149.53
85,0.771,1,Left,0.967,316,316,432,389,329,315,165.02,108.9,141.9,146.29,151.3,152.14
86,0.779,1,Left,0.964,322,322,437,402,342,327,165.34,101.51,139.65,141.46,146.86,148.38
87,0.788,1,Left,0.969,323,323,433,400,340,326,165.22,103.68,141.62,144.15,149.47,150.33
88,0.796,1,Left,0.963,326,326,428,397,338,323,165.01,102.31,142.17,144.66,149.57,151.11
89,0.805,1,Left,0.966,324,324,427,393,333,321,164.93,105.54,141.56,145.01,150.36,150.99
90,0.814,1,Left,0.949,320,320,431,399,341,329,165.54,106.21,140.4,142.83,147.8,148.75
91,0.822,1,Left,0.969,321,321,434,400,340,331,165.13,104.11,140.31,143.62,149.2,149.68
92,0.831,1,Left,0.957,321,321,436,402,342,329,165.15,104.82,140.42,143.23,148.68,150.27
93,0.839,1,Left,0.952,320,320,435,400,339,324,165.39,104.78,140.91,144.16,149.63,151.34
94,0.848,1,Left,0.96,317,317,433,389,328,315,165.14,107.65,141.26,146.54,151.94,152.82
95,0.856,1,Left,0.969,319,319,434,386,324,312,164.79,104.83,140.61,145.49,151.07,151.98
96,0.865,1,Left,0.959,322,322,443,403,341,329,165.02,103.27,138.48,140.88,146.23,147.1
97,0.873,1,Left,0.962,326,326,452,419,357,348,164.32,103.48,137.65,139.47,144.93,145.36
98,0.882,1,Left,0.942,320,320,454,425,363,351,165.57,106.9,138.77,140.72,145.99,147.61
